Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
56,-0.35473976,-0.14258407,-0.59253895,-93.27999999999997,63.53,-7.21120556280556,0.8206024271676142,,,-16.023298760553953,1.8233785931664395
56,-0.35264426,-0.14094511,-0.58354974,813.01,-52.110000000000014,-6.597693970285465,0.8626259555824842,813.01,-52.110000000000014,-14.660076001974303,1.9167548733042796
56,-0.23459969,-0.06725694,-0.3997539,91.24000000000001,-0.46999999999999886,-5.624504845859438,0.9015161404870056,,,-12.497649767499672,2.0031688641621264
56,-0.14555775,-0.40006575,-0.35113838,94.48000000000002,53.360000000000014,-6.8758537665317885,1.0002800020610776,,,-15.278147069233635,2.2226221645797146
56,-0.34922659,-0.1606382,-0.60887992,59.39999999999998,193.69,-4.0333133520148925,0.9527788164971032,,,-8.96202226817709,2.1170745302565637
56,-0.34961236,-0.14847864,-0.61055815,96.09000000000003,-3.0500000000000114,7.666264504590371,1.084083453103653,,,17.034439729199804,2.4088334327963166
56,-0.35647181,-0.15048149,-0.59894145,28.440000000000055,-69.17,8.537369103865588,1.2898166216651856,,,18.97003414878934,2.8659725333400417
56,-0.30392769,-0.22459778,-0.27022526,325.57000000000005,-5.349999999999994,4.20058905101665,1.2691836278284139,325.57000000000005,-5.349999999999994,9.333708871358997,2.8201260210347354
56,-0.15996596,-0.04093635,-0.33250448,728.9100000000001,-127.65,-4.715978209378789,1.2944384520941756,728.9100000000001,-127.65,-10.478903581239669,2.8762422405532577
56,-0.1570497,-0.28814289,-0.30861628,75.88999999999999,-168.78,-5.6303752197842165,1.478201038783908,,,-12.510693738360528,3.284562708177843
56,-0.25419629,-0.19761245,-0.32077208,210.55999999999995,-100.93,9.13786164260972,4.7835848431928385,,,20.304328569878795,10.629125521574485
56,-0.19792548,-0.28970522,-0.33242214,-48.700000000000045,430.47,-7.0082593939281965,2.9887943071984107,,,-15.572352373308453,6.641100950594869
56,-0.19566497,-0.09081887,-0.35001925,397.61,-121.41,7.058907915633205,2.588934062233081,397.61,-121.41,15.684893388536983,5.752611486281905
56,-0.20269988,-0.29024911,-0.33071962,95.44000000000005,-54.790000000000006,-9.276099624965614,3.727843018867577,,,-20.611493366673592,8.283267187923755
56,-0.32744026,-0.18122779,-0.59399807,398.48,963.6099999999999,8.713387016495554,3.1653411812581256,,,19.36114595065312,7.033388104755555
56,-0.3154963,-0.200986,-0.26464173,229.36,-151.29,5.822090033500956,2.1527275840931255,,,12.936684054439125,4.7833606918549245
56,-0.31969312,-0.18075339,-0.26658496,290.25,-131.23,7.880993658741058,2.615749962243596,290.25,-131.23,17.511567909722633,5.81219641610527
56,-0.37279004,-0.33907163,-0.26080909,-183.48000000000002,-151.34,-8.92644600256598,2.9075909111128957,,,-19.83456301770161,6.460667004492854
56,-0.37503344,-0.33511627,-0.26727119,-152.94000000000005,-200.15,-8.099506808587421,2.6165003035869203,,,-17.99710412868125,5.813863674570137
56,-0.34013551,-0.32717589,-0.25880426,-192.19000000000005,-258.14,-7.193289441464228,2.2866577648287136,,,-15.983489138933514,5.080953553449401
56,-0.32413724,-0.16264738,-0.25533423,311.30999999999995,-167.09,8.926128498957175,2.8653358667788327,311.30999999999995,-167.09,19.83385752468284,6.366776295982567
56,-0.30854645,-0.33343202,-0.26837012,-227.57999999999998,-249.05,-8.600863337501693,2.9998303253067444,,,-19.11111833592876,6.665622982831587
56,-0.34358436,-0.16100913,-0.27108324,301.37,-127.9,7.600610477794937,2.809382848716605,301.37,-127.9,16.88855648166035,6.242448689848296
56,-0.35168818,-0.13122672,-0.28028452,217.82000000000005,-67.38,9.2877830417754,3.2963963704237176,,,20.63745391882494,7.3245927350815
56,-0.3656714,-0.15183236,-0.2541087,349.65,21.80000000000001,7.896773151578372,2.553152466868942,349.65,21.80000000000001,17.54662994280714,5.673104781382789
56,-0.2758908,-0.17761073,-0.26920891,271.46000000000004,-201.4,7.988426513433173,2.9978188836239554,271.46000000000004,-201.4,17.75028371284851,6.661153559412429
56,-0.31808087,-0.16699651,-0.25756946,232.79999999999995,-244.86,7.5161469079716134,3.410239646196686,,,16.700878429512926,7.577552493849037
56,-0.34197384,-0.15326126,-0.26478633,275.5,-199.35,7.978418826212223,2.9871237046299215,275.5,-199.35,17.728046631843558,6.637388871687685
56,-0.32095635,-0.3305853,-0.25678167,-299.18,-235.81,-8.307478116744926,3.0214845899562977,-299.18,-235.81,-18.459216375407227,6.713738758882893
56,-0.34111139,-0.30023232,-0.25990441,-250.08999999999997,-193.73000000000002,-6.0999570633323605,2.1178028598551526,-250.08999999999997,-193.73000000000002,-13.554104594724505,4.70575795459815
56,-0.34144574,-0.30921987,-0.25931558,-153.27999999999997,-168.31,-6.715399832239296,2.224273798458726,,,-14.921618427235716,4.942336380175289
