Participant,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
18,-0.31850344,-0.07866086,-0.24340816,380.78999999999996,-147.89,14.588248236629777,5.384497346701405,380.78999999999996,-147.89,32.06496962411225,11.835125168049688
18,-0.28829437,-0.18864731,-0.23654728,-472.97,-130.9,-14.869878589294338,4.323477143487083,-472.97,-130.9,-32.683993139268956,9.503002761384609
18,-0.29199728,-0.15688924,-0.24003947,-329.78,-180.12,-11.794789373385893,4.3251702599469315,-329.78,-180.12,-25.92494704270219,9.506724231363357
18,-0.25657609,-0.21212076,-0.23842488,-454.0,-177.29,-15.6316827648054,4.426136617282376,-454.0,-177.29,-34.35843871704227,9.72864828478666
18,-0.3590064,-0.14641145,-0.23189081,169.64999999999998,-192.33,7.138771113443879,3.801674426336806,,,15.691018907349646,8.3560803890883
18,-0.29228407,-0.19841737,-0.22548307,-136.82,-166.81,-7.500562948541072,2.9225406473575752,,,-16.486237360893277,6.4237443428919505
18,-0.32830957,-0.11536925,-0.21240655,54.41999999999996,-127.16999999999999,10.960427553378267,4.020266862277248,,,24.09101976232543,8.83654656328539
18,-0.40647659,-0.1465801,-0.21455251,204.89,-197.95,7.076089057037229,2.5552933331616603,,,15.553243747367828,5.61653474628933
18,-0.36702123,-0.12059186,-0.21126133,254.23000000000002,-243.76,10.701254096916367,5.876102196122849,254.23000000000002,-243.76,23.521356505022172,12.915672627078022
18,-0.38912711,-0.15078388,-0.21442145,105.13999999999999,-169.65,7.179127955053157,2.5484916957833432,,,15.779723245206839,5.601584747331789
18,-0.36085895,-0.10354627,-0.22126032,333.75,-226.23,10.781680247803509,4.043879547269762,333.75,-226.23,23.698133184672113,8.888447244898941
18,-0.37018234,-0.12620428,-0.21845157,228.70000000000005,-204.42,8.967501362446642,4.265775517924209,,,19.71056799465772,9.376174588397411
18,-0.37089896,-0.08505653,-0.21450509,430.26,-260.71,13.288354914286822,5.0062717593513435,430.26,-260.71,29.207804101602434,11.003785327054254
18,-0.37216952,-0.33836916,-0.24168918,0.0,0.0,-46.23724914629639,10.890172494909109,,,-101.62947362355946,23.93659914381022
18,-0.34478319,-0.28701285,-0.23859055,487.93000000000006,378.99,-12.279616440908345,3.8730451388319302,,,-26.990596937116543,8.512953215152583
18,-0.24914944,-0.19801544,-0.22774889,-205.99,-225.62,-8.828420819922135,3.4984832366547747,,,-19.404868962188853,7.689666154167195
18,-0.36359626,-0.10781331,-0.22616431,300.11,-221.73,9.640315870079114,3.6230123918101707,300.11,-221.73,21.18941428243389,7.963381237198755
18,-0.23472422,-0.21574822,-0.23505293,-357.75,-220.22,-14.261170667796282,4.427293777308265,-357.75,-220.22,-31.346053127816226,9.731191722523565
18,-0.25137126,-0.24679385,-0.23172905,-327.68,-192.02,-12.44443587262036,3.954614576645323,-327.68,-192.02,-27.35287004801955,8.692242839466418
18,-0.32060972,-0.09093227,-0.22638039,397.90999999999997,-272.95,12.1869161201224,4.657203955919844,397.90999999999997,-272.95,26.786841632029034,10.236534295111815
18,-0.34507215,-0.10012944,-0.24175783,344.4,-258.28,10.812094165466576,4.0563078627799385,344.4,-258.28,23.76498297569553,8.915764682390304
18,-0.27904913,-0.23356624,-0.24947694,553.45,324.1,-11.80135900592327,3.7928048198078916,,,-25.93938709501935,8.336584993937745
18,-0.27746627,-0.21486515,-0.27331629,-335.86,-167.56,-13.17620755661639,4.20068061428523,-335.86,-167.56,-28.961304209442826,9.233095990198937
