Participant,horizontal_angle_finger_pointing_unscaled,eyegaze_horiz_angle_x,angle_center,Buidling_half_width,horizontal_angle_finger_pointing,eyegaze_horiz_angle_x_scaled_without_tablet,angle_center_scaled,Buidling_half_width_scaled
66,38.0,33.06799870090892,8.759660483861772,3.370601032144525,17.86,16.864679337463553,17.878467047561877,6.8793967066069746
66,45.0,4.689281540424263,25.25832301561094,10.761648874855233,21.15,,51.55223727486193,21.96452535357953
66,-15.0,-34.96824556403247,40.14328988777708,11.772566400867245,-7.05,-17.83380523765656,81.93245466095301,24.027808024170046
66,-15.0,-2.71419750891947,-29.015261741208622,7.213185633644445,-7.05,,-59.2201492138068,14.722111878268308
66,-42.0,38.77491142787803,-21.450925897316814,7.231588011980836,-19.74,19.775204828217795,-43.78133975642362,14.759671132452889
66,20.0,-6.13587629006156,-74.04062527313364,37.87861681146791,9.399999999999999,,-151.11691618246576,77.310256912206
66,-15.0,-22.40408796518266,22.595782030000112,11.230877609864434,-7.05,-11.426084862243158,46.117991123230226,22.922221201733308
66,41.0,25.461610628016054,-11.235900040136695,4.2079187573546,19.27,12.985421420288187,-22.932471981918994,8.588362183760736
66,38.0,25.92374943070018,6.4383313969132665,2.333875134178791,17.86,13.221112209657091,13.140634381099977,4.763439148858913
66,25.0,9.738090095958388,9.543736507283924,3.4141349213252554,11.75,,19.478766211366487,6.968249374424846
66,38.0,4.183166257351165,6.520427091747226,2.2965086396564023,17.86,,13.308191694256086,4.687174133538717
66,-45.0,11.783382192645576,9.915916716271388,3.5650297808960993,-21.15,,20.238386017909903,7.276225782808938
66,32.0,-0.9312212601665204,3.5155381485169173,2.9123796287908537,15.04,,7.175213361123028,5.944166822362132
66,45.0,7.62567600288803,18.869468478193525,8.572648788434597,21.15,,38.51258516399298,17.496776177195013
66,-34.0,-1.5561501920098262,40.77128632199711,12.180838707315198,-15.979999999999999,,83.2141953831961,24.861091801630316
66,-24.0,-22.916375385854213,-58.24729307156804,13.822090565261163,-11.28,-11.687351446785648,-118.88272515907036,28.210886843698027
66,-26.0,-22.23744025002445,-49.45850059244481,13.30567060979078,-12.219999999999999,-11.34109452751247,-100.94479970917985,27.156873714582986
66,41.0,62.31042936657702,-24.514623400931068,8.23297638426081,19.27,31.77831897695428,-50.03434636130031,16.803504800276315
66,-26.0,-0.6287865178423437,17.19103962920525,6.691881555413635,-12.219999999999999,,35.08691188320791,13.658130254599227
66,-35.0,-37.05905717550825,-51.089064118078056,13.578287915854702,-16.45,-18.90011915950921,-104.2727798649973,27.71328563625945
66,45.0,18.575819619742518,-24.27338825624088,6.903611925336007,21.15,,-49.54198543098764,14.090271939610787
66,41.0,10.716373905313102,35.32819162694658,11.43385227604184,19.27,,72.10483911059796,23.336492495401394
66,-34.0,-27.833254500221415,50.45387539303013,14.443539899692919,-15.979999999999999,-14.194959795112922,102.9763596771745,29.479264935273243
66,-33.0,-0.04166192878955137,-20.872167599481244,6.247122834545705,-15.51,,-42.60009407054122,12.75037770530778
66,20.0,-1.5214319180185363,2.350531099881281,1.7948259450663775,9.399999999999999,,4.797433974857695,3.663239753880476
66,25.0,15.533727300905257,9.87008502143455,3.350977880186172,11.75,,20.144843528747916,6.839345853459975
66,-26.0,-22.861597664667954,13.691509535641657,4.424063831459762,-12.219999999999999,-11.659414808980657,27.944370962244623,9.029514280009373
66,-15.0,15.421857306933303,-15.129316950847876,5.052155350407445,-7.05,,-30.878935896680513,10.311449070181597
66,-15.0,26.162148245440417,-9.69883926797804,3.125807156989059,-7.05,13.342695605174614,-19.795330945943178,6.37977240741467
66,32.0,15.755924254449548,-8.392025930128305,2.9336009748392753,15.04,,-17.12812492339187,5.987479589646961
66,-16.0,52.12447353613092,10.843234440156984,3.60331604855056,-7.52,26.58348150342677,22.131041492360403,7.354368055091692
66,-15.0,-2.9896291492504155,-14.61272845657036,4.567331908810592,-7.05,,-29.824578779860104,9.321924425882418
66,-35.0,-30.374632156384223,-19.143833252913062,8.790980646034551,-16.45,-15.491062399755954,-39.07256366919556,17.942391498556518
66,38.0,26.989214683633044,-30.24043590766299,8.760265183698893,17.86,13.764499488652852,-61.720729687540164,17.879701239929442
66,32.0,29.527506270996625,12.497140460914013,4.15522939227209,15.04,15.05902819820828,25.5066636807255,8.480823189627335
66,45.0,5.142162136710713,16.213093757384005,5.25415516163132,21.15,,33.09092435882075,10.723730684889524
66,25.0,3.434023056338993,-5.317927180297881,1.9389148427458234,11.75,,-10.853889374987974,3.9573251940442256
66,20.0,8.299982035518964,10.331988498666794,3.5504199740272107,9.399999999999999,,21.087588525778926,7.2464071669895365
66,20.0,3.064466317631654,12.758001860419407,4.486791275667411,9.399999999999999,,26.03908179711601,9.157540993637184
66,-45.0,-44.32366312888681,18.52010724260857,6.44503391031888,-21.15,,37.79953888216409,13.154314210960834
66,20.0,-4.895276632772616,43.98491419584076,13.682444999246648,9.399999999999999,,89.77320987371098,27.925870243462413
66,38.0,12.943744061154637,4.432471866046037,1.829915336504971,17.86,,9.04667507859996,3.734857201806646
66,-15.0,-16.959491086147775,6.275681008443036,2.5109926537531937,-7.05,,12.808664938232237,5.124936006310268
66,-15.0,-12.487005878869157,-15.120542131676547,5.0551668689338465,-7.05,,-30.861026490751833,10.31759557949398
66,-15.0,-8.582357330648161,-7.827758583908555,2.658973871082998,-7.05,,-15.97645526975736,5.426965670880399
66,-15.0,0.0,-8.753488228211685,3.0414860498762244,-7.05,,-17.865869473780048,6.207673027797374
66,-45.0,24.975554792137928,-10.289926415338773,3.5715178869562214,-21.15,12.737532943990344,-21.001739813706433,7.289468007277646
66,-45.0,43.49736820789398,-13.653768019983225,4.374155146422852,-21.15,22.18365778602593,-27.86734052878576,8.92765065384904
66,-15.0,-10.425511920986029,24.839133874275337,7.851011740297981,-7.05,,50.69667223739596,16.023914961948176
66,9.0,25.32428056645049,17.419085549759988,5.769818225124765,4.2299999999999995,12.915383088889751,35.552353607060134,11.776198997479645
66,38.0,20.741468399599533,25.738532601569794,8.75464729449691,17.86,10.578148883795762,52.53234503980395,17.868235128068196
66,20.0,14.090218620067185,26.09920173785145,10.961297744438014,9.399999999999999,,53.268470746954804,22.372008696397987
66,20.0,13.366535486648633,9.700496772028298,2.846320766567606,9.399999999999999,,19.798713911709758,5.809340684564483
66,-15.0,-10.796611694092984,22.602722014144824,6.411803100437229,-7.05,,46.13215563086958,13.086490127992384
66,-45.0,-57.85298874469462,-7.320736175046902,2.2416155084122065,-21.15,-29.505024259794258,-14.941622533270728,4.575137252669313
66,-45.0,23.869199127615317,-11.284030263102522,3.484298746559791,-21.15,12.173291555083813,-23.03070576699225,7.111453741728534
66,45.0,21.59013731938675,13.417464557827158,3.744922298719578,21.15,11.010970032887242,27.385045162525227,7.643386411686659
66,-42.0,-24.336738550698094,14.279947058522978,5.624323854472027,-19.74,-12.411736660856029,29.145371946445398,11.479244986977408
66,45.0,23.940950227197323,-42.97837662007863,12.272313198187906,21.15,12.209884615870635,-87.71886668158048,25.047791237501514
