Participant,trigger_no,fzd_hands0_fingerTip_coordinates_x,fzd_hands0_fingerTip_coordinates_y,fzd_hands0_fingerTip_coordinates_z,eyegaze_new_coordinates_x,eyegaze_new_coordinates_y,angle_center,Buidling_half_width,eyegaze_new_coordinates_x_without_tablet_&_road_gazes,eyegaze_new_coordinates_y_without_tablet_&_road_gazes,angle_center_scaled,Buidling_half_width_scaled
18,50.0,-0.36226442,-0.0886846,-0.33945379,365.36,-141.77,14.244789598709888,5.278985168235418,365.36,-141.77,31.310047537964333,11.60320939978145
18,50.0,-0.3367106,-0.08270829,-0.28142312,369.65,-152.98,14.393428086294168,5.331237060208965,369.65,-152.98,31.63675493367458,11.718059058339303
18,50.0,-0.31850344,-0.07866086,-0.24340816,380.78999999999996,-147.89,14.588248236629777,5.384497346701405,380.78999999999996,-147.89,32.06496962411225,11.835125168049688
18,50.0,-0.32794246,-0.08151731,-0.2476591,392.49,-151.03,14.785907792838316,5.438782286648312,392.49,-151.03,32.49942532865862,11.954443466052991
18,50.0,-0.3352502,-0.08689252,-0.28357872,403.76,-152.34,14.885940046659556,5.494119456299958,403.76,-152.34,32.7192962225577,12.076074564947307
18,51.0,-0.3207095,-0.17841282,-0.27496153,-435.99,-95.29000000000002,-14.495930592034316,4.253278881502712,-435.99,-95.29000000000002,-31.862055441291428,9.34870698154296
18,51.0,-0.29805481,-0.19088213,-0.2467733,-435.58000000000004,-100.38,-14.63304029417783,4.288119883607803,-435.58000000000004,-100.38,-32.16342256660287,9.425287504169953
18,51.0,-0.28829437,-0.18864731,-0.23654728,-472.97,-130.9,-14.869878589294338,4.323477143487083,-472.97,-130.9,-32.683993139268956,9.503002761384609
18,51.0,-0.29366976,-0.17553416,-0.24634776,-468.14,-136.41,-14.915192038817652,4.359390051801074,-468.14,-136.41,-32.7835921013212,9.58193933385876
18,51.0,-0.31024337,-0.15389651,-0.27646893,-359.74,-140.92,-15.044669361719787,4.395813548530292,-359.74,-140.92,-33.06818325706009,9.661998179669583
18,52.0,-0.32155779,-0.11834634,-0.29390821,-262.63,-113.27000000000001,-11.66013101836688,4.266826611045248,-262.63,-113.27000000000001,-25.6289679783704,9.378484891077456
